location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
"{B103, B204, B314, A704}","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM",353,NaN,0,?,6436c2657efba14cf3f90006,"TUTH, TUTH, TUTH, TUTH",{},"4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",90,3,BUS,0,LEC,{},?,Entrepreneurship,"95609, ?, 92855, 52626"
"{B207, A211}","3:30 PM, 3:30 PM",358,ESI,0,?,6436c2657efba14cf3f90008,"MW, MW",{},"4:50 PM, 4:50 PM",90,3,BUS,0,LEC,{},?,Marketing Research,"95638, 92859"
"{A114, A114, A211, A724}","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM",359,NaN,0,?,6436c2657efba14cf3f90009,"TU, TU, TU, TU",{},"4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",90,3,BUS,0,LEC,{},?,Consumer Behavior,"95642, ?, 92861, 52631"
"{B204, B204}","2:00 PM, 2:00 PM",363,NaN,0,?,6436c2a23023723180f7eb7e,"MW, MW",{},"3:20 PM, 3:20 PM",90,3,BUS,0,LEC,{},?,Brand Management,"56203, 52676"
"{C105(C105), C105(C106), B103(B103), C103(C107)}","2:00 PM(2:00 PM), 10:30 AM(2:00 PM), 10:30 AM(10:30 AM), 10:30 AM(2:00 PM)",214,NaN,0,?,6436c2667efba14cf3f9001b,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)",{},"3:20 PM(2:55 PM), 11:50 AM(2:55 PM), 11:50 AM(11:25 AM), 11:50 AM(2:55 PM)","90(R90), 90(R90), 90(R90), 90(R90)",4,CSE,0,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)",{},?,Data Structures,"95407(95408), 54653(54654), 92233(92234), 52092(52093)"
"{A117, B207}","2:00 PM, 2:00 PM",317,NaN,0,?,6436c2637efba14cf3f8ffe2,"MW, MW",{},"3:20 PM, 3:20 PM",90,3,AMS,0,LEC,{},?,Introduction to Linear Regression Analysis,"95562, 92336"
"{B205, B103}","5:00 PM, 9:00 AM",318,WRTD,0,?,6436c2637efba14cf3f8ffe3,"TUTH, TUTH",{},"6:20 PM, 10:20 AM",90,3,AMS,0,LEC,{},?,Financial Mathematics,"95587, 56459"
"{B103, A116}","2:00 PM, 5:00 PM",326,NaN,0,?,6436c2a13023723180f7eb70,"MW, TUTH",{},"3:20 PM, 6:20 PM",90,3,AMS,0,LEC,{},?,Numerical Analysis,"54821, 52200"
"{B206, B206}","3:30 PM, 3:30 PM",412,CER; ESI; EXP+,0,?,6436c2647efba14cf3f8ffe7,"MW, MW",{},"4:50 PM, 4:50 PM",90,3,AMS,0,LEC,{},?,Mathematical Statistics,"95618, 92363"
{A312},10:30 AM,573,NaN,0,?,6436c2a13023723180f7eb74,MW,{},11:50 AM,90,3,AMS,0,LEC,{},?,Categorical Data Analysis,54846
"{B314, A702}","10:30 AM, 3:30 PM",597,NaN,0,?,6436c2647efba14cf3f8fff5,"MW, MW",{},"11:50 AM, 4:50 PM","L90, 90",3,AMS,0,"LAB, LEC",{},?,Statistical Computing,"95657, 56467"
"{A724, A704, B205}","9:00 AM, 9:00 AM, 2:00 PM",310,NaN,0,?,6436c2647efba14cf3f8fffb,"W, W, MW",{},"11:50 AM, 11:50 AM, 3:20 PM",90,3,ACC,0,LEC,{},?,Intermediate Accounting I,"96497, ?, 52671"
